"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Raspbmc","#0090c4","Raspbian","2013.02.3","2015.06.28",,"https://distroware.gitlab.io/os/Linux/o/osmc",,,,,,,,,
"N","Moode","#D35400","Raspbian","2014.08.23",,,"https://distroware.gitlab.io/os/Linux/m/moode",,,,,,,,,
"N","Point Linux","#9ccaeb","Debian","2012.6.9","2019.06.21",,"https://distroware.gitlab.io/os/Linux/p/point",,,,,,,,,
"N","Univention Corporate Server","#E51D3C","Debian","2012.12.14",,,"https://distroware.gitlab.io/os/Linux/u/univention",,,,,,,,,
"N","SparkyLinux","#898483","Debian","2012.12.19",,,"https://distroware.gitlab.io/os/Linux/s/sparky",,,,,,,,,
"N","Kali","#557c94","Debian","2013.3.14",,,"https://distroware.gitlab.io/os/Linux/k/kali",,,,,,,,,
"N","Pardus ","#da9746","Debian","2013.03.27",,,"https://distroware.gitlab.io/os/Linux/p/pardus",,,,,,,,,
"N","Rebellin","#31abea","Debian","2013.4.16",,,"https://distroware.gitlab.io/os/Linux/r/rebellin",,,,,,,,,
"N","Rescatux","#ff6633","Debian","2013.8.14",,,"https://distroware.gitlab.io/os/Linux/r/rescatux",,,,,,,,,
"N","Volumio","#48bd87","Debian","2013.09.07",,,"https://distroware.gitlab.io/os/Linux/v/volumio",,,,,,,,,
"N","SteamOS","#b55afb","Debian","2013.09.23","2020.06.30",,"https://distroware.gitlab.io/os/Linux/s/steamos",,,,,,,,,
"N","Ye Olde SteamOSe","#2e2e2e","SteamOS","2013.12.17","2016.03",,"https://distroware.gitlab.io/os/Linux/stephensons-rocket","Stephenson's Rocket","2014.03.22","https://distroware.gitlab.io/os/Linux/s/stephensons-rocket",,,,,,
"//N","Vaporos","#000","SteamOS","2015.11.10",,,"http://vaporos.net/",,,,,,,,,
"N","armbian","#c7c7c7","Debian","2013.12.24",,,"https://distroware.gitlab.io/os/Linux/a/armbian",,,,,,,,,
"N","ToriOS","#be0000","Debian","2014.01.14",,,"https://distroware.gitlab.io/os/Linux/t/torios",,,,,,,,,
"N","Tanglu","#078002","Debian","2014.1.19","2020.06.11",,"https://distroware.gitlab.io/os/Linux/t/tanglu",,,,,,,,,
"N","RoboLinux","#7b7c7a","Debian","2014.2.20",,,"https://distroware.gitlab.io/os/Linux/r/robolinux",,,,,,,,,
"N","MX Linux","#506e88","Debian","2014.03.24",,,"https://distroware.gitlab.io/os/Linux/m/mx-linux",,,,,,,,,
"N","AV Linux ","#334466","MX Linux","2020.11.25",,,"https://distroware.gitlab.io/os/Linux/a/av-linux",,,,,,,,,
"N","Endless OS","#f26522","Debian","2014.06.11",,,"https://distroware.gitlab.io/os/Linux/e/endless-os",,,,,,,,,
"N","Q4OS","#5f74c7","Debian","2014.07.17",,,"https://distroware.gitlab.io/os/Linux/q/q4os",,,,,,,,,
"N","SELKS","#761146","Debian","2014.10.17",,,"https://distroware.gitlab.io/os/Linux/s/selks",,,,,,,,,
"N","Devuan","#424252","Debian","2014.12.1",,,"https://distroware.gitlab.io/os/Linux/d/devuan",,,,,,,,,
"N","Refracta","#4A3348","Devuan","2015.10.15",,,"https://distroware.gitlab.io/os/Linux/r/refracta",,,,,,,,,
"//N","Crowz","#000","Devuan",,,,"https://sourceforge.net/projects/crowz/",,,,,,,,,
"N","OSMC","#0090c4","Debian","2015.06.28",,,"https://distroware.gitlab.io/os/Linux/o/osmc",,,,,,,,,
